,reviewer_id,store_name,category,store_address,latitude ,longitude,rating_count,review_time,review,rating
11233,11234,McDonald's,Fast food restaurant,"1121 Garnet Ave, San Diego, CA 92109, United States",32.7976607,-117.2494697,"1,159",a month ago,"Cold, stale, busy saturday night. Would love to get that 20 bucks back.",1 star
5021,5022,McDonald's,Fast food restaurant,"724 Broadway, New York, NY 10003, United States",40.7291264,-73.9932643,"1,670",4 years ago,Excellent ,5 stars
22576,22577,McDonald's,Fast food restaurant,2476 Kalï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,,,"2,175",a year ago,"very big, efficient store on Waikiki Beach",5 stars
256,257,McDonald's,Fast food restaurant,"13749 US-183 Hwy, Austin, TX 78750, United States",30.4607176,-97.7928744,"1,240",4 years ago,Very pleasant staff...always friendly! Prompt service and always hot fries! ï¿½ï¿½ï¿,5 stars
32464,32465,McDonald's,Fast food restaurant,"3501 Biscayne Blvd, Miami, FL 33137, United States",25.8099996,-80.1890981,"2,810",4 years ago,"Staff unprofessional, yelling and screaming among themselves and yelling and screaming to US CUSTOMERS.
Also, and more important they take forever to prepare the food, a simple order can take a good 25-30 min

FAST FOOD??",1 star
22453,22454,McDonald's,Fast food restaurant,2476 Kalï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,,,"2,175",4 years ago,There was a homeless guy in the restaurant that was being very vulgar.  It did not make for a pleasant meal.  The apple pies here are great.,2 stars
29449,29450,McDonald's,Fast food restaurant,"1415 E State Rd, Fern Park, FL 32730, United States",28.6553497,-81.3426916,"1,618",a year ago,Excellent ,5 stars
77,78,McDonald's,Fast food restaurant,"13749 US-183 Hwy, Austin, TX 78750, United States",30.4607176,-97.7928744,"1,240",a year ago,"The cashier's are very nice. Its very clean on the inside, and they get your food done fast",5 stars
21365,21366,McDonald's,Fast food restaurant,"By Mandalay Bay, 3999 S Las Vegas Blvd, Las Vegas, NV 89119, United States",36.0902437,-115.1758223,"2,365",5 years ago,We stayed at the Tropicana and didnt want to pay $21.95 each for breakfast so we went here.  It was a 10 minute walk ( it's across from Mandalay Bay) and encountered 2 homeless men along the way but it was worth the walk.  Food and service were excellent and the prices the same as other McDonalds.   The place is new and clean.   The is also a Subway in the strip mall.   Highy recommend if you can stand the heat durind the walk.,4 stars
26384,26385,McDonald's,Fast food restaurant,"1540 2nd St, Santa Monica, CA 90405, United States",34.0122192,-118.4945396,"3,381",4 years ago,"Gets very very busy , but they are normally fairly rapid about getting everyone through. By far the cheapest food place in that area, so ideal if you're just visiting. It's still McDonalds though so don't expect anything different from every other franchise.",5 stars
4418,4419,McDonald's,Fast food restaurant,"724 Broadway, New York, NY 10003, United States",40.7291264,-73.9932643,"1,670",6 years ago,Fresh hot food all of the times that I've been there,4 stars
17208,17209,McDonald's,Fast food restaurant,"10901 Riverside Dr, North Hollywood, CA 91602, United States",34.1525074,-118.3679036,"1,795",5 years ago,Excellent ,5 stars
12663,12664,McDonald's,Fast food restaurant,"501 W Imperial Hwy, Los Angeles, CA 90044, United States",33.9312613,-118.2829548,"2,722",5 years ago,The drive-through is so slow. Went at night and saw that the line was long but I figured it'll be moving. . . Nope. I was third to last and was in the same spot for like 15mins. It was ridiculous. I ended up backing up and leaving.,1 star
2370,2371,McDonald's,Fast food restaurant,"72-69 Kissena Blvd, Queens, NY 11367, United States",40.7274006,-73.8124604,"2,193",2 years ago,Best person mary roettger so nice,5 stars
16687,16688,McDonald's,Fast food restaurant,"10901 Riverside Dr, North Hollywood, CA 91602, United States",34.1525074,-118.3679036,"1,795",2 years ago,Wow. The therapists here are brilliant!,5 stars
4963,4964,McDonald's,Fast food restaurant,"724 Broadway, New York, NY 10003, United States",40.7291264,-73.9932643,"1,670",4 years ago,Poor ,2 stars
31023,31024,McDonald's,Fast food restaurant,"7010 Bradlick Shopping Center, Annandale, VA 22003, United States",38.8128231,-77.1850548,595,3 years ago,Terrible,1 star
15880,15881,McDonald's,Fast food restaurant,"8500 US-290, Austin, TX 78724, United States",30.3291349,-97.6606295,"1,406",5 years ago,"This place not clean at all , needs to properly be clean.",1 star
5232,5233,McDonald's,Fast food restaurant,"724 Broadway, New York, NY 10003, United States",40.7291264,-73.9932643,"1,670",3 years ago,Neutral,3 stars
21561,21562,McDonald's,Fast food restaurant,"By Mandalay Bay, 3999 S Las Vegas Blvd, Las Vegas, NV 89119, United States",36.0902437,-115.1758223,"2,365",5 years ago,"Nice location, but store wasn't kept very clean.",3 stars
1728,1729,McDonald's,Fast food restaurant,"1698 US-209, Brodheadsville, PA 18322, United States",40.9220806,-75.3999187,"1,028",4 years ago,Neutral,3 stars
5201,5202,McDonald's,Fast food restaurant,"724 Broadway, New York, NY 10003, United States",40.7291264,-73.9932643,"1,670",2 years ago,Excellent ,5 stars
11876,11877,McDonald's,Fast food restaurant,"1121 Garnet Ave, San Diego, CA 92109, United States",32.7976607,-117.2494697,"1,159",2 years ago,Excellent ,5 stars
23264,23265,McDonald's,Fast food restaurant,"5725 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",28.3335081,-81.5137384,"5,566",9 months ago,"Food cold and forgot items, food was replaced so only 2 star I'm afraid",2 stars
5309,5310,McDonald's,Fast food restaurant,"5920 Balboa Ave, San Diego, CA 92111, United States",32.8206541,-117.1780115,550,7 months ago,Qu8ck drive through service. Staff was nice. Food good as usual.,5 stars
29805,29806,McDonald's,Fast food restaurant,"1415 E State Rd, Fern Park, FL 32730, United States",28.6553497,-81.3426916,"1,618",4 months ago,Excellent ,5 stars
14730,14731,McDonald's,Fast food restaurant,"111 Madison St, Oak Park, IL 60302, United States",41.8796564,-87.7779131,"1,454",5 years ago,"This place hasn't had the tenders and fish sandwich for a minute. They say they ran out but it's been a while now. That or they forgot to remove paper from drive thru. What ever. I like eating here it's cozy. Has a fire place and over all nice. Employees are your average 21st century customer service type, horrible.",3 stars
23457,23458,McDonald's,Fast food restaurant,"5725 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",28.3335081,-81.5137384,"5,566",3 years ago,"Me and my family were there at 10:15 pm on a Sunday and they would not let us in.we were not happy at all,wat to soon to be locking doors.",1 star
3925,3926,McDonald's,Fast food restaurant,"429 7th Ave, New York, NY 10001, United States",40.7505058,-73.990583,"2,052",4 years ago,Excellent ,5 stars
8463,8464,McDonald's,Fast food restaurant,"210 5th S, Salt Lake City, UT 84106, United States",40.7590573,-111.8973832,"3,243",a month ago,"I was doordashing at the time, I would never eat at McDonald's because I'm Vegan. Just want to make that clear.
This experience was not the best demonstration of a streamlined or very efficient process in expediting fast food.

The order I was waiting on took a whooping 15 minutes and was given to someone else without an apology. That being said, I would have rated them with 1 star but I decided to walk in and watch the process.
The customer service was what I would expect given the employees having to deal with the distractions from the crowd of people inquiring about their order.

* Customers can look up at the monitors above the counter to see the process of their order.

The average gluttonous ""starving"" American that eats at McDonald's behaves as though their needs are of paramount importance. It's one of the best examples you can witness of bloated self-entitlement.
McDonald's employees, you are doing a good job and on behalf of the Jerry Springer audience members that eat at your restaurant. Please forgive them.",5 stars
16629,16630,McDonald's,Fast food restaurant,"10901 Riverside Dr, North Hollywood, CA 91602, United States",34.1525074,-118.3679036,"1,795",4 years ago,"The same old, the food is bad for you, but it's cheap if you do it right and don't get sucked into the marketing ï¿½ï¿½ï¿",4 stars
9196,9197,McDonald's,Fast food restaurant,"210 5th S, Salt Lake City, UT 84106, United States",40.7590573,-111.8973832,"3,243",4 years ago,Bathrooms are dirty and messy front lobby look good tables were wiped down and cleaned good hot piping food,2 stars
